,Annualized_Return
RELIANCE.NS,0.41866106
HDFCBANK.NS,0.026701735
INFY.NS,0.3005134
TCS.NS,0.19041684
ICICIBANK.NS,0.5782878
HINDUNILVR.NS,0.32319143
SBIN.NS,0.8651561
BAJFINANCE.NS,1.1767302
BHARTIARTL.NS,0.6625917
ITC.NS,0.5706697
KOTAKBANK.NS,0.01
LT.NS,0.40887
HCLTECH.NS,0.57594705
MARUTI.NS,0.43794048
SUNPHARMA.NS,0.5234409
TITAN.NS,0.6878604
ULTRACEMCO.NS,0.42056963
WIPRO.NS,0.4350181
NESTLEIND.NS,0.15143125
TECHM.NS,0.4681829
ASIANPAINT.NS,0.7911363
AXISBANK.NS,0.5214586
BAJAJFINSV.NS,0.80978066
HDFCLIFE.NS,0.036052056
TATAMOTORS.NS,0.85023034
POWERGRID.NS,0.27741304
COALINDIA.NS,0.8298647
ONGC.NS,0.5024279
ADANIPORTS.NS,0.84083766
GRASIM.NS,0.39471132
NTPC.NS,0.9280022
JSWSTEEL.NS,0.4936495
HEROMOTOCO.NS,0.25461283
CIPLA.NS,0.0101348115
DRREDDY.NS,0.44123018
DIVISLAB.NS,0.49469808
APOLLOHOSP.NS,0.93299603
EICHERMOT.NS,0.18712151
BRITANNIA.NS,0.6448954
INDUSINDBK.NS,1.9209485
SBILIFE.NS,0.01
HDFCAMC.NS,0.79556257
M&M.NS,0.68225443
TATACONSUM.NS,0.5198422
SHRIRAMFIN.NS,1.0448122
ADANIENT.NS,1.9601941
TRENT.NS,0.76339436
BEL.NS,0.85865635
BPCL.NS,0.5585394
IOC.NS,0.44667956
