,Confidence_Level
RELIANCE.NS,0.7939448217566387
HDFCBANK.NS,0.8339396172009294
INFY.NS,0.8042627723575222
TCS.NS,0.9047826463153615
ICICIBANK.NS,0.718592560498182
HINDUNILVR.NS,0.9494138708640614
SBIN.NS,0.691625140740498
BAJFINANCE.NS,0.598154512263344
BHARTIARTL.NS,0.786908353760465
ITC.NS,0.901299514239273
KOTAKBANK.NS,0.7641194586441272
LT.NS,0.7920360841484158
HCLTECH.NS,0.7815944077372494
MARUTI.NS,0.760337207494739
SUNPHARMA.NS,0.8659476300575439
TITAN.NS,0.7610110708977283
ULTRACEMCO.NS,0.8136507326435571
WIPRO.NS,0.729868972543238
NESTLEIND.NS,1.0
TECHM.NS,0.71399208321751
ASIANPAINT.NS,0.8474685027091626
AXISBANK.NS,0.6370419695479935
BAJAJFINSV.NS,0.6474272262445554
HDFCLIFE.NS,0.7717982946831005
TATAMOTORS.NS,0.5220802843014909
POWERGRID.NS,0.7537517809741269
COALINDIA.NS,0.6620751209471782
ONGC.NS,0.5978557318700342
ADANIPORTS.NS,0.5268444208664709
GRASIM.NS,0.7713203815904501
NTPC.NS,0.7278024477136992
JSWSTEEL.NS,0.6381309544083903
HEROMOTOCO.NS,0.734973476717544
CIPLA.NS,0.7810707632911454
DRREDDY.NS,0.8558729693477706
DIVISLAB.NS,0.7260568911002891
APOLLOHOSP.NS,0.6598499417276592
EICHERMOT.NS,0.7081065977756399
BRITANNIA.NS,0.9529570252972694
INDUSINDBK.NS,0.4868203623467878
SBILIFE.NS,0.8176259817879615
HDFCAMC.NS,0.7033949029388347
M&M.NS,0.6350914418581116
TATACONSUM.NS,0.8082754084029711
SHRIRAMFIN.NS,0.47482101732592485
ADANIENT.NS,0.39610606218581473
TRENT.NS,0.5762241159053474
BEL.NS,0.5811853587847254
BPCL.NS,0.6525948904618486
IOC.NS,0.720132248741993
